stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1025,,Forest St and Opp Melton Dr,,41.756552,-72.580304,,,,,
10252,,West St and School St,,41.671555,-72.949401,,,,,
10253,,West St and Gridley St,,41.668098,-72.948319,,,,,
10254,,South St and West St,,41.667411,-72.947495,,,,,
10256,,Main St and South St,,41.668379,-72.943347,,,,,
10258,,South St and Willis St,,41.667909,-72.939439,,,,,
10259,,South St and Seymour St,,41.668214,-72.938132,,,,,
10260,,South St and Opp East St,,41.668629,-72.933947,,,,,
10261,,South St and East Rd,,41.668327,-72.931285,,,,,
10262,,South St and Ridge Rd,,41.668052,-72.928998,,,,,
10263,,Sargeant Dr and Sargent Corp 2,,41.289333,-72.924135,,,,,
1027,,Forest St and Forest Ln,,41.755926,-72.584849,,,,,
1028,,Forest St and Opp Dorothy Rd,,41.755662,-72.586836,,,,,
10282,,High St and Goodwin St,,41.67397,-72.937089,,,,,
10283,,High St and Bellevue Ave,,41.673637,-72.940065,,,,,
10284,,High St and Main St,,41.673492,-72.942424,,,,,
10287,,Mountain Rd and Mitchell St,,41.66643,-72.92279,,,,,
10288,,Pine St and Terry Commons,,41.666968,-72.920383,,,,,
10289,,Pine St and Pine St Package Store,,41.667461,-72.918618,,,,,
1029,,Forest St and Opp Noch Ln,,41.754347,-72.591371,,,,,
10290,,Pine St and Emmett St,,41.668429,-72.914022,,,,,
10291,,Veterans Circle and Campbell Ave,,41.285006,-72.958048,,,,,
10294,,Pine St and Barber St,,41.668878,-72.910574,,,,,
10295,,Pine St and Birch St,,41.668249,-72.902988,,,,,
10296,,Pine St and Opp Forest St,,41.668545,-72.900145,,,,,
10297,,Pine St and Daley St,,41.66877,-72.897908,,,,,
10298,,Pine St and Stop and Shop,,41.668736,-72.894556,,,,,
10299,,Pine St and Marion St,,41.668881,-72.890903,,,,,
103,,Farmington Ave and Bank of America,,41.762435,-72.740651,,,,,
1030,,Forest St and 310 Forest St,,41.753608,-72.5929,,,,,
10300,,Pine St and Overlook Ave,,41.669141,-72.888169,,,,,
10301,,W Main St and Bohemia St,,41.669393,-72.884346,,,,,
10302,,W Main St and Hoerle ct,,41.669717,-72.878963,,,,,
10303,,W Main St and Washington St,,41.669924,-72.875261,,,,,
10304,,W Main St and Strong Ct,,41.670131,-72.87197,,,,,
10305,,W Main St and Pierce St,,41.670766,-72.869031,,,,,
10307,,Bridge St and 1st St,,41.319553,-73.090423,,,,,
10308,,Alexander Rd and Country Club Rd,,41.706164,-72.787771,,,,,
1031,,Forest St and Opp Brewer St,,41.752967,-72.59421,,,,,
10319,,Stanley St and Stanley Woods Condo,,41.702862,-72.775136,,,,,
1032,,Forest St and 228 Forest St,,41.752095,-72.596066,,,,,
10320,,Stanley St and AW Stanley Park,,41.703961,-72.775498,,,,,
10321,,Stanley St and Opp Huber St,,41.705552,-72.775775,,,,,
10322,,Stanley St and Country Club Rd,,41.708162,-72.775761,,,,,
10323,,Country Club Rd and Highridge Rd,,41.708217,-72.778654,,,,,
10324,,Country Club Rd and Opp Nachilly Dr,,41.707896,-72.781862,,,,,
10325,,Country Club Rd and Crestwood Ln,,41.707335,-72.787346,,,,,
10326,,Alexander Rd and 268 Alexander Rd,,41.70645,-72.785531,,,,,
10327,,Alexander Rd and Nachilly Dr,,41.706868,-72.781488,,,,,
10328,,Alexander Rd and 100 Alexander Rd,,41.70718,-72.778486,,,,,
10329,,Stanley St and Alexander Rd,,41.707304,-72.775835,,,,,
1033,,Forest St and 164 Forest St,,41.751455,-72.597946,,,,,
10330,,Stanley St and Huber St,,41.705624,-72.775981,,,,,
10331,,Stanley St and A W Stanley Park,,41.703765,-72.775668,,,,,
10332,,Stanley St and Stanley Woods Condo,,41.702773,-72.775354,,,,,
10334,,Talcottville Rd and Opp Loveland Hill Rd,,41.860908,-72.48274,,,,,
10335,,Tunxis Com College and Plainville Ave,,41.704873,-72.878795,,,,,
10336,,UConn Health Blvd and Main Rd,,41.730929,-72.790093,,,,,
10338,,Defco Park Rd and Opp Dodge Ave,,41.418413,-72.844833,,,,,
1034,,Forest St and 128 Forest St,,41.750583,-72.600565,,,,,
10343,,UConn Health Blvd and Pond,,41.734183,-72.793543,,,,,
10345,,Farmington Ave and Exchange,,41.735488,-72.795613,,,,,
10346,,Farmington Ave and 308-314 Farmington Ave,,41.733112,-72.797612,,,,,
10347,,Farmington Ave and 400 Farmington Ave,,41.730869,-72.799756,,,,,
10348,,Poquonck Ave and 34-36 Poquonock Ave,,41.853653,-72.645536,,,,,
10349,,Columbus Blvd and LaQuinta Hotel,,41.667734,-72.778477,,,,,
1035,,Forest St and 78 Forest St,,41.750041,-72.602214,,,,,
10353,,Farm Springs Rd and 5 Farm Spring Rd,,41.709698,-72.804352,,,,,
10354,,Farm Springs Rd and 4 Farm Springs Rd,,41.709475,-72.80457,,,,,
10355,,Farm Springs Rd and UPC Fire Security,,41.710619,-72.8044,,,,,
10356,,Farm Springs Rd and Main St,,41.710521,-72.804631,,,,,
10357,,Farm Springs Rd and Otis Elevator,,41.708045,-72.803663,,,,,
10358,,Farm Springs Rd and Otis Elevator,,41.708063,-72.803905,,,,,
1036,,Forest St and 40 Forest St,,41.74957,-72.603778,,,,,
10360,,Pascone Pl and Price Chopper,,41.668717,-72.719765,,,,,
10361,,Maselli Rd and Stew Leonards,,41.650388,-72.730219,,,,,
10362,,Wal-Mart and Berlin Tpke,,41.662176,-72.720465,,,,,
10364,,E Main St and Opp New Britain Plaza,,41.670361,-72.779116,,,,,
10366,,E Main St and Stanley St,,41.671225,-72.771361,,,,,
10367,,E Main St and Opp Olive St,,41.671456,-72.768784,,,,,
10368,,E Main St and Opp Cottage Pl,,41.671839,-72.764767,,,,,
1037,,Forest St and Forbes St,,41.74917,-72.605087,,,,,
10370,,East St and Sunrise Ave,,41.673285,-72.762479,,,,,
10371,,East St and Judd Ave,,41.675019,-72.762114,,,,,
10372,,East St and City Ave,,41.676189,-72.761919,,,,,
10373,,East St and Thorniley St,,41.677494,-72.761833,,,,,
10374,,DIX St and East St,,41.680443,-72.761734,,,,,
10375,,DIX Ave and 1st St,,41.680585,-72.760306,,,,,
